,ListID,TimeCreated,TimeModified,EditSequence,Name,FullName,IsActive,Sublevel,AccountType,AccountNumber,Desc,Balance,TotalBalance,CashFlowClassification,ParentRef,SpecialAccountType,TaxLineInfoRet
21,80000074-1197716425,2007-12-15T16:30:25+05:30,2024-12-15T18:28:38+05:30,1734267518,SUTA Expense,Payroll Expenses:SUTA Expense,true,1,Expense,62740.0,,1233.5,1233.5,None,"{'ListID': '540002-1071527489', 'FullName': 'Payroll Expenses'}",,
22,360000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Office Supplies,Office Supplies,true,0,Expense,63000.0,Office Supplies,0.0,0.0,None,,,
23,8000007F-1197738192,2007-12-15T22:33:12+05:30,2024-12-15T18:28:38+05:30,1734267518,Postage,Postage,true,0,Expense,63100.0,,104.2,104.2,None,,,
24,380000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Printing and Reproduction,Printing and Reproduction,true,0,Expense,63300.0,Printing and Reproduction,0.0,0.0,None,,,
25,390000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Professional Fees,Professional Fees,true,0,Expense,63600.0,Professional Fees,0.0,500.0,None,,,
26,3A0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Accounting,Professional Fees:Accounting,true,1,Expense,63610.0,Accounting Fees,500.0,500.0,None,"{'ListID': '390000-933270542', 'FullName': 'Professional Fees'}",,
27,3B0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Legal Fees,Professional Fees:Legal Fees,true,1,Expense,63620.0,Legal Fees,0.0,0.0,None,"{'ListID': '390000-933270542', 'FullName': 'Professional Fees'}",,
28,3C0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Rent,Rent,true,0,Expense,63900.0,Rent,1200.0,1200.0,None,,,
29,3D0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Repairs,Repairs,true,0,Expense,64200.0,Repairs and Maintenance,0.0,4039.0,None,,,
30,3E0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Building Repairs,Repairs:Building Repairs,true,1,Expense,64210.0,Building Repairs,175.0,175.0,None,"{'ListID': '3D0000-933270542', 'FullName': 'Repairs'}",,
31,3F0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Computer Repairs,Repairs:Computer Repairs,true,1,Expense,64220.0,Computer Repairs,714.0,714.0,None,"{'ListID': '3D0000-933270542', 'FullName': 'Repairs'}",,
32,400000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Equipment Repairs,Repairs:Equipment Repairs,true,1,Expense,64230.0,Equipment Repairs,3150.0,3150.0,None,"{'ListID': '3D0000-933270542', 'FullName': 'Repairs'}",,
33,410000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Taxes,Taxes,true,0,Expense,64500.0,Taxes,0.0,0.0,None,,,
34,420000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Federal,Taxes:Federal,true,1,Expense,64510.0,Federal Taxes,0.0,0.0,None,"{'ListID': '410000-933270542', 'FullName': 'Taxes'}",,
35,450000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,State,Taxes:State,true,1,Expense,64520.0,,0.0,0.0,None,"{'ListID': '410000-933270542', 'FullName': 'Taxes'}",,
36,440000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Property,Taxes:Property,true,1,Expense,64530.0,Property Taxes,0.0,0.0,None,"{'ListID': '410000-933270542', 'FullName': 'Taxes'}",,
37,430000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Local,Taxes:Local,true,1,Expense,64540.0,,0.0,0.0,None,"{'ListID': '410000-933270542', 'FullName': 'Taxes'}",,
38,460000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Tools and Machinery,Tools and Machinery,true,0,Expense,64800.0,Tools and Machinery,4278.59,4278.59,None,,,
39,480000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Utilities,Utilities,true,0,Expense,65100.0,Utilities,0.0,6638.74,None,,,
40,490000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Gas and Electric,Utilities:Gas and Electric,true,1,Expense,65110.0,Gas and Electric,3537.59,3537.59,None,"{'ListID': '480000-933270542', 'FullName': 'Utilities'}",,
41,4A0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Telephone,Utilities:Telephone,true,1,Expense,65120.0,Telephone,2344.15,2344.15,None,"{'ListID': '480000-933270542', 'FullName': 'Utilities'}",,
42,4B0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Water,Utilities:Water,true,1,Expense,65130.0,Water,757.0,757.0,None,"{'ListID': '480000-933270542', 'FullName': 'Utilities'}",,
43,350000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Miscellaneous,Miscellaneous,true,0,Expense,69000.0,Miscellaneous,0.0,0.0,None,,,
44,10000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Opening Bal Equity,Opening Bal Equity,true,0,Equity,30000.0,Offset account for use during the setup of the company's QuickBooks data file only.,38773.75,38773.75,Financing,,OpeningBalanceEquity,
45,80000066-1197709715,2007-12-15T14:38:35+05:30,2024-12-15T18:28:38+05:30,1734267518,Capital Stock,Capital Stock,true,0,Equity,30100.0,Capital Stock,500.0,500.0,Financing,,,
46,130000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Shareholder Distributions,Shareholder Distributions,true,0,Equity,31400.0,Distributions paid to shareholders,0.0,0.0,Financing,,,
47,160000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Retained Earnings,Retained Earnings,true,0,Equity,32000.0,Retained Earnings,18470.43,18470.43,Financing,,RetainedEarnings,
48,C0000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Accounts Payable,Accounts Payable,true,0,AccountsPayable,20000.0,Moneys you owe to vendors and suppliers,26636.92,26636.92,Operating,,,"{'TaxLineID': '1573', 'TaxLineName': 'B/S-Liabs/Eq.: Accounts payable'}"
49,570000-1071509253,2003-12-15T22:57:33+05:30,2024-12-15T18:28:38+05:30,1734267518,QuickBooks Credit Card,QuickBooks Credit Card,true,0,CreditCard,20500.0,QuickBooks Credit Card,94.2,94.2,Operating,,,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
50,8000007E-1197732180,2007-12-15T20:53:00+05:30,2024-12-15T18:28:38+05:30,1734267518,CalOil Credit Card,CalOil Credit Card,true,0,CreditCard,20600.0,,382.62,382.62,Operating,,,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
51,80000082-1197753773,2007-12-16T02:52:53+05:30,2024-12-15T18:28:38+05:30,1734267518,Subcontracted Federal WH,Subcontracted Federal WH,true,0,OtherCurrentLiability,,,0.0,0.0,Operating,,,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
52,110000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Due to Owner,Due to Owner,true,0,OtherCurrentLiability,20700.0,Short Term Loan from Owner - No Note or Bond,0.0,0.0,Operating,,,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
53,4F0001-1071527477,2003-12-16T04:01:17+05:30,2024-12-15T18:28:38+05:30,1734267518,Payroll Liabilities,Payroll Liabilities,true,0,OtherCurrentLiability,24000.0,Payroll Liabilities,0.0,5404.45,Operating,,PayrollLiabilities,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
54,8000006E-1197716149,2007-12-15T16:25:49+05:30,2024-12-15T18:28:38+05:30,1734267518,Federal Withholding,Payroll Liabilities:Federal Withholding,true,1,OtherCurrentLiability,24010.0,,1364.0,1364.0,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
55,8000006F-1197716183,2007-12-15T16:26:23+05:30,2024-12-15T18:28:38+05:30,1734267518,FICA Payable,Payroll Liabilities:FICA Payable,true,1,OtherCurrentLiability,24020.0,,2118.82,2118.82,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
56,8000006B-1197716074,2007-12-15T16:24:34+05:30,2024-12-15T18:28:38+05:30,1734267518,AEIC Payable,Payroll Liabilities:AEIC Payable,true,1,OtherCurrentLiability,24030.0,,0.0,0.0,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
57,8000006C-1197716105,2007-12-15T16:25:05+05:30,2024-12-15T18:28:38+05:30,1734267518,FUTA Payable,Payroll Liabilities:FUTA Payable,true,1,OtherCurrentLiability,24040.0,,100.0,100.0,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
58,80000071-1197716353,2007-12-15T16:29:13+05:30,2024-12-15T18:28:38+05:30,1734267518,State Withholding,Payroll Liabilities:State Withholding,true,1,OtherCurrentLiability,24050.0,,299.19,299.19,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
59,80000073-1197716416,2007-12-15T16:30:16+05:30,2024-12-15T18:28:38+05:30,1734267518,SUTA Payable,Payroll Liabilities:SUTA Payable,true,1,OtherCurrentLiability,24060.0,,110.0,110.0,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
60,80000072-1197716383,2007-12-15T16:29:43+05:30,2024-12-15T18:28:38+05:30,1734267518,State Disability Payable,Payroll Liabilities:State Disability Payable,true,1,OtherCurrentLiability,24070.0,,48.13,48.13,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
61,8000006A-1197716008,2007-12-15T16:23:28+05:30,2024-12-15T18:28:38+05:30,1734267518,Worker's Compensation,Payroll Liabilities:Worker's Compensation,true,1,OtherCurrentLiability,24080.0,,1214.31,1214.31,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
62,E0000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Direct Deposit Liabilities,Payroll Liabilities:Direct Deposit Liabilities,true,1,OtherCurrentLiability,24090.0,,0.0,0.0,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
63,8000007C-1197715628,2007-12-15T16:17:08+05:30,2024-12-15T18:28:38+05:30,1734267518,Emp. Health Ins Payable,Payroll Liabilities:Emp. Health Ins Payable,true,1,OtherCurrentLiability,24100.0,,150.0,150.0,Operating,"{'ListID': '4F0001-1071527477', 'FullName': 'Payroll Liabilities'}",,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
64,100000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Sales Tax Payable,Sales Tax Payable,true,0,OtherCurrentLiability,25500.0,Sales Tax Payable,957.63,957.63,Operating,,SalesTaxPayable,"{'TaxLineID': '1577', 'TaxLineName': 'B/S-Liabs/Eq.: Other current liabilities'}"
65,120000-933270541,1999-07-29T23:19:01+05:30,2024-12-15T18:28:38+05:30,1734267518,Loan - Vehicles (Van),Loan - Vehicles (Van),true,0,LongTermLiability,23000.0,3/4 Ton PU - 48 months 6.9% purchased 12/01/2005,10501.47,10501.47,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
66,80000075-1197719780,2007-12-15T17:26:20+05:30,2024-12-15T18:28:38+05:30,1734267518,Loan - Vehicles (Utility Truck),Loan - Vehicles (Utility Truck),true,0,LongTermLiability,23100.0,Loan - Vehicles (Utility Truck),19936.91,19936.91,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
67,80000076-1197719828,2007-12-15T17:27:08+05:30,2024-12-15T18:28:38+05:30,1734267518,Loan - Vehicles (Pickup Truck),Loan - Vehicles (Pickup Truck),true,0,LongTermLiability,23200.0,Loan - Vehicles (Pickup Truck),22641.0,22641.0,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
68,5B0000-1197774305,2007-12-16T08:35:05+05:30,2024-12-15T18:28:38+05:30,1734267518,Loan - Construction Equipment,Loan - Construction Equipment,true,0,LongTermLiability,28100.0,Loan for Construction Equipment,13911.32,13911.32,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
69,80000068-1197710590,2007-12-15T14:53:10+05:30,2024-12-15T18:28:38+05:30,1734267518,Loan - Furniture/Office Equip,Loan - Furniture/Office Equip,true,0,LongTermLiability,28200.0,Loan for purchase of furniture and office equipment,21000.0,21000.0,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
70,8000008F-1197954502,2007-12-18T10:38:22+05:30,2024-12-15T18:28:38+05:30,1734267518,Note Payable - Bank of Anycity,Note Payable - Bank of Anycity,true,0,LongTermLiability,28700.0,,2693.21,2693.21,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
71,80000067-1197709946,2007-12-15T14:42:26+05:30,2024-12-15T18:28:38+05:30,1734267518,Mortgage - Office Building,Mortgage - Office Building,true,0,LongTermLiability,28900.0,Mortgage - Office  Building,296283.0,296283.0,Financing,,,"{'TaxLineID': '1581', 'TaxLineName': 'B/S-Liabs/Eq.: L-T Mortgage/note/bonds pay.'}"
72,4E0000-933270542,1999-07-29T23:19:02+05:30,2024-12-15T18:28:38+05:30,1734267518,Other Expenses,Other Expenses,true,0,OtherExpense,80100.0,Other Expenses,0.0,0.0,None,,,
